item_id,difficulty,category,notes
bird_1003,moderate,,
bird_1011,challenging,,
bird_1014,challenging,,
bird_1028,challenging,,
bird_1036,challenging,,
bird_1088,moderate,,
bird_1092,simple,,
bird_1135,moderate,,
bird_1136,moderate,,
bird_1141,moderate,,
bird_1155,simple,,
bird_116,challenging,,
bird_1169,challenging,,
bird_1171,challenging,,
bird_118,moderate,,
bird_1220,simple,,
bird_1238,moderate,,
bird_1239,challenging,,
bird_1275,moderate,,
bird_1350,moderate,,
bird_1387,moderate,,
bird_1390,moderate,,
bird_1399,moderate,,
bird_1427,moderate,,
bird_1435,moderate,,
bird_1481,challenging,,
bird_1506,moderate,,
bird_1526,challenging,,
bird_1528,simple,,
bird_207,challenging,,
bird_244,moderate,,
bird_341,simple,,
bird_344,moderate,,
bird_408,moderate,,
bird_50,simple,,
bird_518,moderate,,
bird_595,moderate,,
bird_604,moderate,,
bird_62,challenging,,
bird_629,simple,,
bird_685,moderate,,
bird_710,simple,,
bird_79,moderate,,
bird_892,moderate,,
bird_896,challenging,,
bird_906,moderate,,
bird_915,simple,,
bird_967,simple,,
bird_989,moderate,,
bird_994,challenging,,
